GPS纬度,GPS经度,谷歌地图纬度,谷歌地图经度,百度纬度,百度经度,地址,邮编,关键词
40.3388719733,116.0374979191,40.3402294573,116.0437903814,40.346586,116.050218,北京市延庆县,-,北京延庆县八达岭镇石佛寺西侧
40.2463176447,116.2136813774,40.2475829579,116.2197914495,40.253257,116.226419,北京市昌平区S212(昌赤路),-,北京昌平区十三陵镇大宫门
40.2964918846,116.2423119473,40.2977480792,116.2483951973,40.303675,116.254906,北京市昌平区,-,北京市昌平区十三陵长陵
39.9181400976,116.3011703764,39.9193908009,116.3072321688,39.925473,116.31371,北京市海淀区西三环中路11号-213室,-,海淀区西三环中路11号中央电视塔下
39.9409591288,116.3384182642,39.9422834992,116.3445658874,39.947965,116.351187,北京市西城区西直门外大街135号院-9,-,北京市西城区北京展览馆后湖“皇帝船”码头
40.2373950945,116.0959951294,40.2388162207,116.1023626936,40.244501,116.108999,北京市昌平区,-,北京市昌平区南口镇208所射击场
40.3473236959,116.1571629546,40.3487177721,116.1634446881,40.355049,116.16984,北京市昌平区,-,昌平十三陵镇碓臼峪风景区门前往西3公里
40.2888241696,116.2023376373,40.2901130986,116.2084745315,40.295763,116.21507,北京市昌平区G110(京银路),-,北京市昌平区十三陵镇德胜口桥
40.2937133693,116.2450988076,40.2949654721,116.2511766932,40.301075,116.257625,北京市昌平区X027(环陵路),-,北京昌平区延寿镇
40.3241427977,116.100195648,40.3255824836,116.1065739409,40.331262,116.113194,北京市昌平区,-,北京昌平区南口镇虎峪村北
40.1367101866,116.0096723895,40.1379447414,116.0158414702,40.144083,116.02234,北京市昌平区,-,北京昌平区流村镇瓦窑村
40.2372769306,116.1491270007,40.2386609936,116.155419463,40.245005,116.16181,北京市昌平区,-,北京市昌平区南口镇龙虎台村西侧
40.1767471492,116.3934788103,40.1781654346,116.399749815,40.184498,116.406129,北京市昌平区,-,北京市昌平区小汤山镇
40.2360327594,116.4334643119,40.237437504,116.4397192233,40.243181,116.446322,北京市昌平区,-,北京市昌平区兴寿镇桃峪口
40.4305857726,116.2293824263,40.4318924443,116.2354978629,40.43766,116.242071,北京市延庆县S212(昌赤路),-,延庆县大庄科乡
40.4011312131,115.9629776001,40.4023036581,115.9690501213,40.407982,115.975678,北京市延庆县,-,北京市延庆区大榆树镇新宝庄村
40.5663724408,116.2199132013,40.5677499405,116.2260661888,40.573421,116.232678,北京市延庆县S323(延琉路),-,北京市延庆区刘斌堡乡
